Site,Date,Color,Temp_C
Balzor,2022-02-14,Black,7.912499979
Balzor,2022-02-14,White,4.087499958
Balzor,2022-02-15,Black,0.599999979
Balzor,2022-02-15,White,0.400000003
Balzor,2022-02-16,Black,0.312499981
Balzor,2022-02-16,White,0.212499999
Balzor,2022-02-17,Black,0.474999994
Balzor,2022-02-17,White,0.024999997
Balzor,2022-02-18,Black,5.462500073
Balzor,2022-02-18,White,0.662500001
Balzor,2022-02-19,Black,7.787499879
Balzor,2022-02-19,White,3.425000038
Balzor,2022-02-20,Black,2.787500083
Balzor,2022-02-20,White,1.250000012
Balzor,2022-02-21,Black,-0.224999994
Balzor,2022-02-21,White,-0.025000002
Balzor,2022-02-22,Black,-2.962500039
Balzor,2022-02-22,White,-2.362500029
Balzor,2022-02-23,Black,-3.199999988
Balzor,2022-02-23,White,-3.887499937
Balzor,2022-02-24,Black,-3.725000036
Balzor,2022-02-24,White,-4.599999957
Balzor,2022-02-25,Black,-1.699999988
Balzor,2022-02-25,White,-4
Balzor,2022-02-26,Black,1.974999964
Balzor,2022-02-26,White,-3.199999999
Balzor,2022-02-27,Black,4.862500042
Balzor,2022-02-27,White,0.062500075
Balzor,2022-02-28,Black,8.650000103
Balzor,2022-02-28,White,5.187499981
Balzor,2022-03-01,Black,11.63750008
Balzor,2022-03-01,White,8.224999949
Balzor,2022-03-02,Black,10.97499985
Balzor,2022-03-02,White,7.824999973
Balzor,2022-03-03,Black,11.84999993
Balzor,2022-03-03,White,8.512499958
Balzor,2022-03-04,Black,6.312500048
Balzor,2022-03-04,White,4.775000039
Balzor,2022-03-05,Black,4.337499976
Balzor,2022-03-05,White,3.050000027
Balzor,2022-03-06,Black,0.862499982
Balzor,2022-03-06,White,0.487499982
Balzor,2022-03-07,Black,4.600000024
Balzor,2022-03-07,White,2.300000101
Balzor,2022-03-08,Black,1.562500072
Balzor,2022-03-08,White,0.63749999
Balzor,2022-03-09,Black,0.362500012
Balzor,2022-03-09,White,-0.049999986
Balzor,2022-03-10,Black,-1.000000007
Balzor,2022-03-10,White,-0.749999985
Balzor,2022-03-11,Black,4.025000095
Balzor,2022-03-11,White,1.887500077
Balzor,2022-03-12,Black,9.99999986
Balzor,2022-03-12,White,7.674999813
Balzor,2022-03-13,Black,3.087499946
Balzor,2022-03-13,White,2.662500006
Balzor,2022-03-14,Black,7.162500015
Balzor,2022-03-14,White,5.975000091
Balzor,2022-03-15,Black,7.737499893
Balzor,2022-03-15,White,6.149999946
Balzor,2022-03-16,Black,6.162500009
Balzor,2022-03-16,White,4.47499992
Balzor,2022-03-17,Black,6.84999996
Balzor,2022-03-17,White,4.725000001
Balzor,2022-03-18,Black,8.062499955
Balzor,2022-03-18,White,5.949999914
Balzor,2022-03-19,Black,8.337500066
Balzor,2022-03-19,White,6.687500089
Balzor,2022-03-20,Black,5.599999964
Balzor,2022-03-20,White,3.625000037
Balzor,2022-03-21,Black,4.637500025
Balzor,2022-03-21,White,3.075000003
Balzor,2022-03-22,Black,9.762499958
Balzor,2022-03-22,White,7.15000011
Balzor,2022-03-23,Black,11.46250007
Balzor,2022-03-23,White,8.737499952
Balzor,2022-03-24,Black,12.6624999
Balzor,2022-03-24,White,9.387499839
Balzor,2022-03-25,Black,14.06249994
Balzor,2022-03-25,White,10.66249996
Balzor,2022-03-26,Black,15.40000015
Balzor,2022-03-26,White,11.63749999
Balzor,2022-03-27,Black,13.38750017
Balzor,2022-03-27,White,10.3125
Balzor,2022-03-28,Black,11.69999999
Balzor,2022-03-28,White,9.025000036
Balzor,2022-03-29,Black,10.54999989
Balzor,2022-03-29,White,8.199999899
Balzor,2022-03-30,Black,7.737499863
Balzor,2022-03-30,White,5.824999988
Balzor,2022-03-31,Black,9.537499711
Balzor,2022-03-31,White,6.375
Balzor,2022-04-01,Black,10.46250019
Balzor,2022-04-01,White,6.900000073
Balzor,2022-04-02,Black,12.84999985
Balzor,2022-04-02,White,8.912499934
Balzor,2022-04-03,Black,10.92499991
Balzor,2022-04-03,White,7.662499897
Balzor,2022-04-04,Black,8.962500095
Balzor,2022-04-04,White,6.949999899
Balzor,2022-04-05,Black,8.187499896
Balzor,2022-04-05,White,5.500000089
Balzor,2022-04-06,Black,10.92500011
Balzor,2022-04-06,White,6.775000006
Balzor,2022-04-07,Black,14.47499998
Balzor,2022-04-07,White,9.774999902
Balzor,2022-04-08,Black,16.33749986
Balzor,2022-04-08,White,12.57499993
Balzor,2022-04-09,Black,9.950000077
Balzor,2022-04-09,White,6.77500014
Balzor,2022-04-10,Black,3.962500017
Balzor,2022-04-10,White,2.099999972
Balzor,2022-04-11,Black,2.362499997
Balzor,2022-04-11,White,1.724999964
Balzor,2022-04-12,Black,3.512500063
Balzor,2022-04-12,White,1.699999993
Balzor,2022-04-13,Black,3.875000079
Balzor,2022-04-13,White,1.712500006
Balzor,2022-04-14,Black,5.149999961
Balzor,2022-04-14,White,3.24999997
Balzor,2022-04-15,Black,7.737500161
Balzor,2022-04-15,White,5.41249986
Balzor,2022-04-16,Black,6.137500048
Balzor,2022-04-16,White,4.962499931
Balzor,2022-04-17,Black,8.800000027
Balzor,2022-04-17,White,6.524999946
Balzor,2022-04-18,Black,7.93750003
Balzor,2022-04-18,White,6.737499952
Balzor,2022-04-19,Black,7.587500006
Balzor,2022-04-19,White,5.862500101
Balzor,2022-04-20,Black,9.449999839
Balzor,2022-04-20,White,7.724999979
Balzor,2022-04-21,Black,8.287499905
Balzor,2022-04-21,White,6.74999994
Balzor,2022-04-22,Black,9.31249994
Balzor,2022-04-22,White,7.362499952
Balzor,2022-04-23,Black,8.787500024
Balzor,2022-04-23,White,6.674999952
Balzor,2022-04-24,Black,12.7874999
Balzor,2022-04-24,White,9.025000155
Balzor,2022-04-25,Black,12.63750017
Balzor,2022-04-25,White,9.850000083
Balzor,2022-04-26,Black,12.11250013
Balzor,2022-04-26,White,9.887499809
Balzor,2022-04-27,Black,12.15000004
Balzor,2022-04-27,White,8.962499946
Balzor,2022-04-28,Black,9.712499917
Balzor,2022-04-28,White,7.287500024
Balzor,2022-04-29,Black,9.875000089
Balzor,2022-04-29,White,7.22499986
Balzor,2022-04-30,Black,8.975000054
Balzor,2022-04-30,White,7.174999878
Balzor,2022-05-01,Black,9.549999982
Balzor,2022-05-01,White,7.849999994
Balzor,2022-05-02,Black,7.524999946
Balzor,2022-05-02,White,6.56250006
Balzor,2022-05-03,Black,6.087500066
Balzor,2022-05-03,White,5.037500009
Balzor,2022-05-04,Black,12.5249999
Balzor,2022-05-04,White,10.18750018
Balzor,2022-05-05,Black,11.93749988
Balzor,2022-05-05,White,11.02500004
Balzor,2022-05-06,Black,11.53749996
Balzor,2022-05-06,White,10.36250001
Balzor,2022-05-07,Black,7.925000072
Balzor,2022-05-07,White,6.774999917
Balzor,2022-05-08,Black,9.962499827
Balzor,2022-05-08,White,7.712500006
Balzor,2022-05-09,Black,6.524999887
Balzor,2022-05-09,White,4.925000042
Balzor,2022-05-10,Black,7.262499958
Balzor,2022-05-10,White,5.399999931
Balzor,2022-05-11,Black,7.424999893
Balzor,2022-05-11,White,5.762499988
Balzor,2022-05-12,Black,9.337500036
Balzor,2022-05-12,White,7.512500018
Balzor,2022-05-13,Black,12.33749992
Balzor,2022-05-13,White,10.02500004
Balzor,2022-05-14,Black,14.08749974
Balzor,2022-05-14,White,11.97499996
Balzor,2022-05-15,Black,17.14999998
Balzor,2022-05-15,White,14.63749987
Balzor,2022-05-16,Black,17.8375001
Balzor,2022-05-16,White,15.1624999
Balzor,2022-05-17,Black,18.77499992
Balzor,2022-05-17,White,15.1875
Balzor,2022-05-18,Black,16.88750005
Balzor,2022-05-18,White,13.88749999
Balzor,2022-05-19,Black,12.03749979
Balzor,2022-05-19,White,9.462500095
Balzor,2022-05-20,Black,14.22499985
Balzor,2022-05-20,White,10.67500001
Balzor,2022-05-21,Black,14.98749995
Balzor,2022-05-21,White,11.52499998
Balzor,2022-05-22,Black,16.23333327
Balzor,2022-05-22,White,12.7125001
Balzor,2022-05-23,Black,17.26666657
Balzor,2022-05-23,White,13.57500005
Balzor,2022-05-24,Black,19.36666679
Balzor,2022-05-24,White,15.14999968
Balzor,2022-05-25,Black,22.24999952
Balzor,2022-05-25,White,17.82500005
Balzor,2022-05-26,Black,23.21666622
Balzor,2022-05-26,White,19.26249993
Balzor,2022-05-27,Black,20.19999997
Balzor,2022-05-27,White,16.98749983
Balzor,2022-05-28,Black,16.11666663
Balzor,2022-05-28,White,13.28750002
Balzor,2022-05-29,Black,8.500000079
Balzor,2022-05-29,White,7.74999994
Balzor,2022-05-30,Black,7.96666654
Balzor,2022-05-30,White,6.474999905
Balzor,2022-05-31,Black,14.61666663
Balzor,2022-05-31,White,11.7124998
Balzor,2022-06-01,Black,18.26666657
Balzor,2022-06-01,White,14.38749987
Balzor,2022-06-02,Black,19.5
Balzor,2022-06-02,White,16.43749976
Balzor,2022-06-03,Black,21.04999987
Balzor,2022-06-03,White,17.49999988
Balzor,2022-06-04,Black,16.56666644
Balzor,2022-06-04,White,14.21249986
Balzor,2022-06-05,Black,17.69999997
Balzor,2022-06-05,White,15.35000002
Balzor,2022-06-06,Black,19.25
Balzor,2022-06-06,White,15.89999986
Balzor,2022-06-07,Black,20.5666666
Balzor,2022-06-07,White,16.57500029
Balzor,2022-06-08,Black,19.26666641
Balzor,2022-06-08,White,16.86250007
Balzor,2022-06-09,Black,21.99999984
Balzor,2022-06-09,White,18.36250007
Balzor,2022-06-10,Black,18.16250029
Balzor,2022-06-10,White,20.51250005
Balzor,2022-06-11,Black,18.21249996
Balzor,2022-06-11,White,20.63749993
Balzor,2022-06-12,Black,11.04999981
Balzor,2022-06-12,White,13.38750005
Balzor,2022-06-13,Black,9.062499959
Balzor,2022-06-13,White,9.737500191
Balzor,2022-06-14,Black,10.38750032
Balzor,2022-06-14,White,10.50000006
Balzor,2022-06-15,Black,13.1375
Balzor,2022-06-15,White,14.01249975
Balzor,2022-06-16,Black,16.03750017
Balzor,2022-06-16,White,18.37499988
Balzor,2022-06-17,Black,15.02500002
Balzor,2022-06-17,White,16.8499999
Balzor,2022-06-18,Black,15.1875
Balzor,2022-06-18,White,16.82500029
Balzor,2022-06-19,Black,13.2750001
Balzor,2022-06-19,White,14.02499998
Balzor,2022-06-20,Black,14.86250009
Balzor,2022-06-20,White,15.98750007
Balzor,2022-06-21,Black,17.11249973
Balzor,2022-06-21,White,18.7750001
Balzor,2022-06-22,Black,17.28749957
Balzor,2022-06-22,White,20.54999995
Balzor,2022-06-23,Black,16.83333371
Balzor,2022-06-23,White,21.88749993
Balzor,2022-06-24,Black,13.75000015
Balzor,2022-06-24,White,20.85000014
Balzor,2022-06-25,Black,13.6500001
Balzor,2022-06-25,White,20.92499983
Balzor,2022-06-26,Black,14.67499952
Balzor,2022-06-26,White,23.31250024
Balzor,2022-06-27,Black,14.77499962
Balzor,2022-06-27,White,24.67499995
Balzor,2022-06-28,Black,14.6250001
Balzor,2022-06-28,White,24.94999981
Balzor,2022-06-29,Black,14.6500001
Balzor,2022-06-29,White,23.72499955
Balzor,2022-06-30,Black,14.55000037
Balzor,2022-06-30,White,23.3125
Balzor,2022-07-01,Black,31.05000114
Balzor,2022-07-01,White,25.28749943
Balzor,2022-07-02,Black,28.75000095
Balzor,2022-07-02,White,23.96249986
Balzor,2022-07-03,Black,29.05000019
Balzor,2022-07-03,White,24.42499971
Balzor,2022-07-04,Black,19.89999962
Balzor,2022-07-04,White,21.45000017
Balzor,2022-07-05,White,22.75
Balzor,2022-07-06,White,25.33333333
Balzor,2022-07-07,White,26.36666679
Balzor,2022-07-08,White,26.40000025
Balzor,2022-07-09,White,26.58333397
Balzor,2022-07-10,White,26.04999987
Balzor,2022-07-11,White,25.98333422
Balzor,2022-07-12,White,27.11666616
Balzor,2022-07-13,White,28.64999994
Balzor,2022-07-14,White,28.58333365
Balzor,2022-07-15,White,29.13333384
Balzor,2022-07-16,White,28.41666698
Balzor,2022-07-17,White,27.81666692
Balzor,2022-07-18,White,27.79999955
Balzor,2022-07-19,White,27.59999943
Balzor,2022-07-20,White,29.28333378
Balzor,2022-07-21,White,29.18333308
Balzor,2022-07-22,White,28.93333308
Balzor,2022-07-23,White,28.34999943
Balzor,2022-07-24,White,27.81666692
Balzor,2022-07-25,White,27.88333352
Balzor,2022-07-26,White,29.23333327
Balzor,2022-07-27,White,30.03333346
Balzor,2022-07-28,White,30.49999968
Balzor,2022-07-29,White,29.96666622
Balzor,2022-07-30,White,29.75
Balzor,2022-07-31,White,29.11666616
Balzor,2022-08-01,White,29.98333327
Balzor,2022-08-02,White,27.44999981
Balzor,2022-08-03,White,27.86666648
Balzor,2022-08-04,White,29.6833334
Balzor,2022-08-05,White,28.56666724
Balzor,2022-08-06,White,26.38333321
Balzor,2022-08-07,White,26.35000022
Balzor,2022-08-08,White,27.45000076
Balzor,2022-08-09,White,27.88333321
Balzor,2022-08-10,White,26.09999975
Balzor,2022-08-11,White,27.26666673
Balzor,2022-08-12,White,28.15000025
Balzor,2022-08-13,White,27.44999949
Balzor,2022-08-14,White,26.46666622
Balzor,2022-08-15,White,27.55000019
Balzor,2022-08-16,White,27.80000019
Balzor,2022-08-17,White,28.09999975
Balzor,2022-08-18,White,26.11666711
Balzor,2022-08-19,White,26.15000025
Balzor,2022-08-20,White,26.38333321
Balzor,2022-08-21,White,26.8333327
Balzor,2022-08-22,White,28.31666692
Balzor,2022-08-23,White,27.98333263
Balzor,2022-08-24,White,31.4333334
Balzor,2022-08-25,Black,37.57499981
Balzor,2022-08-25,White,36.39999994
Balzor,2022-08-26,Black,35.28333314
Balzor,2022-08-26,White,31.50000032
Balzor,2022-08-27,Black,33.96666638
Balzor,2022-08-27,White,28.90000041
Balzor,2022-08-28,Black,31.68333364
Balzor,2022-08-28,White,27.35000014
Balzor,2022-08-29,Black,33.61666695
Balzor,2022-08-29,White,32.73333327
Balzor,2022-08-30,Black,32.25000016
Balzor,2022-08-30,White,30.76666721
Balzor,NA,Black,-0.399999995
Wildcat,2021-09-01,Black,28.84999967
Wildcat,2021-09-01,White,27.61250019
Wildcat,2021-09-10,Black,2.799999952
Wildcat,2021-09-10,White,2.300000072
Wildcat,2021-09-11,Black,2.850000024
Wildcat,2021-09-11,White,2.700000048
Wildcat,2021-09-12,Black,5.02500006
Wildcat,2021-09-12,White,4.600000013
Wildcat,2021-09-13,Black,5.850000024
Wildcat,2021-09-13,White,5.550000072
Wildcat,2021-09-14,Black,4.799999952
Wildcat,2021-09-14,White,4.849999905
Wildcat,2021-09-15,Black,1.24999997
Wildcat,2021-09-15,White,1.449999988
Wildcat,2021-09-16,Black,3.150000036
Wildcat,2021-09-16,White,1.899999976
Wildcat,2021-09-17,Black,3.800000012
Wildcat,2021-09-17,White,3.099999964
Wildcat,2021-09-18,Black,2
Wildcat,2021-09-18,White,1.150000006
Wildcat,2021-09-19,Black,0.650000006
Wildcat,2021-09-19,White,0.700000018
Wildcat,2021-09-20,Black,4.550000101
Wildcat,2021-09-20,White,2.199999958
Wildcat,2021-09-21,Black,2.100000001
Wildcat,2021-09-21,White,0.75000003
Wildcat,2021-09-22,Black,3.900000006
Wildcat,2021-09-22,White,1.849999964
Wildcat,2021-09-23,Black,4.649999976
Wildcat,2021-09-23,White,3.699999928
Wildcat,2021-09-24,Black,4.149999917
Wildcat,2021-09-24,White,3.149999917
Wildcat,2021-09-25,Black,2.049999952
Wildcat,2021-09-25,White,1.799999952
Wildcat,2021-09-26,Black,1.149999976
