site_code,mean_temp,median_temp,gdd
BA,5.702519272230636,4.895599842071533,1556.787761318963
CH,6.141100602313174,4.329099655151367,1676.5204644314945
SS,4.10818855802192,1.11080002784729,1121.535476339981
WI,7.099910061055916,6.027299880981445,1938.2754466682673
